show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0005,Movie,Title 5,Director 5,Cast 5,Australia,"September 5, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 5.
s0006,TV Show,Title 6,,Cast 6,United States,"September 6, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 6.
s0007,Movie,Title 7,Director 7,Cast 7,India,"September 7, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 7.
s0008,TV Show,Title 8,Director 8,,Canada,"September 8, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 8.
s0009,Movie,Title 9,,Cast 9,United Kingdom,"September 9, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 9.
s0010,TV Show,Title 10,Director 10,Cast 10,Australia,"September 10, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 10.
s0011,Movie,Title 11,Director 11,Cast 11,United States,"September 11, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 11.
s0012,TV Show,Title 12,,,India,"September 12, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 12.
s0013,Movie,Title 13,Director 13,Cast 13,Canada,"September 13, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 13.
s0014,TV Show,Title 14,Director 14,Cast 14,United Kingdom,"September 14, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 14.
s0015,Movie,Title 15,,Cast 15,Australia,"September 15, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 15.
s0016,TV Show,Title 16,Director 16,,United States,"September 16, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 16.
s0017,Movie,Title 17,Director 17,Cast 17,India,"September 17, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 17.
s0018,TV Show,Title 18,,Cast 18,Canada,"September 18, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 18.
s0019,Movie,Title 19,Director 19,Cast 19,United Kingdom,"September 19, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 19.
s0020,TV Show,Title 20,Director 20,,Australia,"September 20, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 20.
s0001,Movie,Title 1,Director 1,Cast 1,United States,"September 1, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 1.
s0002,TV Show,Title 2,Director 2,Cast 2,India,"September 2, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 2.
s0003,Movie,Title 3,,Cast 3,Canada,"September 3, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 3.
s0004,TV Show,Title 4,Director 4,,United Kingdom,"September 4, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 4.
s0005,Movie,Title 5,Director 5,Cast 5,Australia,"September 5, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 5.
s0006,TV Show,Title 6,,Cast 6,United States,"September 6, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 6.
s0007,Movie,Title 7,Director 7,Cast 7,India,"September 7, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 7.
s0008,TV Show,Title 8,Director 8,,Canada,"September 8, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 8.
s0009,Movie,Title 9,,Cast 9,United Kingdom,"September 9, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 9.
s0010,TV Show,Title 10,Director 10,Cast 10,Australia,"September 10, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 10.
s0011,Movie,Title 11,Director 11,Cast 11,United States,"September 11, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 11.
s0012,TV Show,Title 12,,,India,"September 12, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 12.
s0013,Movie,Title 13,Director 13,Cast 13,Canada,"September 13, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 13.
s0014,TV Show,Title 14,Director 14,Cast 14,United Kingdom,"September 14, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 14.
s0015,Movie,Title 15,,Cast 15,Australia,"September 15, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 15.
s0016,TV Show,Title 16,Director 16,,United States,"September 16, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 16.
s0017,Movie,Title 17,Director 17,Cast 17,India,"September 17, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 17.
s0018,TV Show,Title 18,,Cast 18,Canada,"September 18, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 18.
s0019,Movie,Title 19,Director 19,Cast 19,United Kingdom,"September 19, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 19.
s0020,TV Show,Title 20,Director 20,,Australia,"September 20, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 20.
s0001,Movie,Title 1,Director 1,Cast 1,United States,"September 1, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 1.
s0002,TV Show,Title 2,Director 2,Cast 2,India,"September 2, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 2.
s0003,Movie,Title 3,,Cast 3,Canada,"September 3, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 3.
s0004,TV Show,Title 4,Director 4,,United Kingdom,"September 4, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 4.
s0005,Movie,Title 5,Director 5,Cast 5,Australia,"September 5, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 5.
s0006,TV Show,Title 6,,Cast 6,United States,"September 6, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 6.
s0007,Movie,Title 7,Director 7,Cast 7,India,"September 7, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 7.
s0008,TV Show,Title 8,Director 8,,Canada,"September 8, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 8.
s0009,Movie,Title 9,,Cast 9,United Kingdom,"September 9, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 9.
s0010,TV Show,Title 10,Director 10,Cast 10,Australia,"September 10, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 10.
s0011,Movie,Title 11,Director 11,Cast 11,United States,"September 11, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 11.
s0012,TV Show,Title 12,,,India,"September 12, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 12.
s0013,Movie,Title 13,Director 13,Cast 13,Canada,"September 13, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 13.
s0014,TV Show,Title 14,Director 14,Cast 14,United Kingdom,"September 14, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 14.
s0015,Movie,Title 15,,Cast 15,Australia,"September 15, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 15.
s0016,TV Show,Title 16,Director 16,,United States,"September 16, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 16.
s0017,Movie,Title 17,Director 17,Cast 17,India,"September 17, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 17.
s0018,TV Show,Title 18,,Cast 18,Canada,"September 18, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 18.
s0019,Movie,Title 19,Director 19,Cast 19,United Kingdom,"September 19, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 19.
s0020,TV Show,Title 20,Director 20,,Australia,"September 20, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 20.
s0001,Movie,Title 1,Director 1,Cast 1,United States,"September 1, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 1.
s0002,TV Show,Title 2,Director 2,Cast 2,India,"September 2, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 2.
s0003,Movie,Title 3,,Cast 3,Canada,"September 3, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 3.
s0004,TV Show,Title 4,Director 4,,United Kingdom,"September 4, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 4.
s0005,Movie,Title 5,Director 5,Cast 5,Australia,"September 5, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 5.
s0006,TV Show,Title 6,,Cast 6,United States,"September 6, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 6.
s0007,Movie,Title 7,Director 7,Cast 7,India,"September 7, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 7.
s0008,TV Show,Title 8,Director 8,,Canada,"September 8, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 8.
s0009,Movie,Title 9,,Cast 9,United Kingdom,"September 9, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 9.
s0010,TV Show,Title 10,Director 10,Cast 10,Australia,"September 10, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 10.
s0011,Movie,Title 11,Director 11,Cast 11,United States,"September 11, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 11.
s0012,TV Show,Title 12,,,India,"September 12, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 12.
s0013,Movie,Title 13,Director 13,Cast 13,Canada,"September 13, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 13.
s0014,TV Show,Title 14,Director 14,Cast 14,United Kingdom,"September 14, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 14.
s0015,Movie,Title 15,,Cast 15,Australia,"September 15, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 15.
s0016,TV Show,Title 16,Director 16,,United States,"September 16, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 16.
s0017,Movie,Title 17,Director 17,Cast 17,India,"September 17, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 17.
s0018,TV Show,Title 18,,Cast 18,Canada,"September 18, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 18.
s0019,Movie,Title 19,Director 19,Cast 19,United Kingdom,"September 19, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 19.
s0020,TV Show,Title 20,Director 20,,Australia,"September 20, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 20.
s0001,Movie,Title 1,Director 1,Cast 1,United States,"September 1, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 1.
s0002,TV Show,Title 2,Director 2,Cast 2,India,"September 2, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 2.
s0003,Movie,Title 3,,Cast 3,Canada,"September 3, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 3.
s0004,TV Show,Title 4,Director 4,,United Kingdom,"September 4, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 4.
s0005,Movie,Title 5,Director 5,Cast 5,Australia,"September 5, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 5.
s0006,TV Show,Title 6,,Cast 6,United States,"September 6, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 6.
s0007,Movie,Title 7,Director 7,Cast 7,India,"September 7, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 7.
s0008,TV Show,Title 8,Director 8,,Canada,"September 8, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 8.
s0009,Movie,Title 9,,Cast 9,United Kingdom,"September 9, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 9.
s0010,TV Show,Title 10,Director 10,Cast 10,Australia,"September 10, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 10.
s0011,Movie,Title 11,Director 11,Cast 11,United States,"September 11, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 11.
s0012,TV Show,Title 12,,,India,"September 12, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 12.
s0013,Movie,Title 13,Director 13,Cast 13,Canada,"September 13, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 13.
s0014,TV Show,Title 14,Director 14,Cast 14,United Kingdom,"September 14, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 14.
s0015,Movie,Title 15,,Cast 15,Australia,"September 15, 2019",2014,TV-G,90 min,"Dramas, International Movies",This is the description for title 15.
s0016,TV Show,Title 16,Director 16,,United States,"September 16, 2019",2013,TV-MA,1 Season,"Comedies, TV Shows",This is the description for title 16.
s0017,Movie,Title 17,Director 17,Cast 17,India,"September 17, 2019",2012,PG,90 min,"Dramas, International Movies",This is the description for title 17.
s0018,TV Show,Title 18,,Cast 18,Canada,"September 18, 2019",2011,R,1 Season,"Comedies, TV Shows",This is the description for title 18.
s0019,Movie,Title 19,Director 19,Cast 19,United Kingdom,"September 19, 2019",2010,TV-14,90 min,"Dramas, International Movies",This is the description for title 19.
s0020,TV Show,Title 20,Director 20,,Australia,"September 20, 2019",2019,TV-G,1 Season,"Comedies, TV Shows",This is the description for title 20.
s0001,Movie,Title 1,Director 1,Cast 1,United States,"September 1, 2019",2018,TV-MA,90 min,"Dramas, International Movies",This is the description for title 1.
s0002,TV Show,Title 2,Director 2,Cast 2,India,"September 2, 2019",2017,PG,1 Season,"Comedies, TV Shows",This is the description for title 2.
s0003,Movie,Title 3,,Cast 3,Canada,"September 3, 2019",2016,R,90 min,"Dramas, International Movies",This is the description for title 3.
s0004,TV Show,Title 4,Director 4,,United Kingdom,"September 4, 2019",2015,TV-14,1 Season,"Comedies, TV Shows",This is the description for title 4.
